City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Fayaoue,NC,79.66,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
635,Bharatpur,IN,76.78,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
637,Licheng,CN,86.32,few clouds,23.2955,113.8284,Xincheng Tourism Industry
639,Eydhafushi,MV,81.37,broken clouds,5.1033,73.0708,Soneva Fushi
640,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
641,Ocos,GT,79.56,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
643,Sur,OM,81.64,clear sky,22.5667,59.5289,Sur Plaza Hotel
645,Ponnani,IN,85.32,broken clouds,10.767,75.9252,Rouba Residency
647,Sweetwater,US,77.0,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
648,Vung Tau,VN,84.2,overcast clouds,10.346,107.0843,Seaside Resort
651,Dhuburi,IN,78.4,clear sky,26.0333,89.9667,"Hotel Samrat, Dhubri"
654,Tagusao,PH,85.98,overcast clouds,9.1924,117.8141,Caycay future beach resort
656,Voh,NC,81.12,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
664,Mahanoro,MG,79.39,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
665,Port Keats,AU,86.41,broken clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
670,Rairangpur,IN,79.25,clear sky,22.2676,86.1751,@𝓞𝓜𝓜 𝓝𝓘𝓝𝓘 𝓜𝓘𝓛𝓛 𝓗𝓞𝓣𝓔𝓛
673,Dicabisagan,PH,79.3,light rain,17.0818,122.4157,Nancy Montanes Bernardo
674,Chimore,BO,76.89,broken clouds,-16.9833,-65.1333,Bichito
680,Molepolole,BW,81.88,clear sky,-24.4066,25.4951,Butterfly Tree Guesthouse
682,Umm Lajj,SA,75.78,overcast clouds,25.0213,37.2685,Moon light Furnished Units
683,Vila Do Maio,CV,77.4,broken clouds,15.1333,-23.2167,Hotel Marilu
685,Shenzhen,CN,81.14,scattered clouds,22.5455,114.0683,Grand Skylight
689,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
697,Jeremie,HT,78.28,few clouds,18.65,-74.1167,Auberge’Inn
